"SCEN_NO","SCEN_NAME","NNO","STEP_TYPE","STEP_NAME","VAR_NAME","LSCHEMA_NAME","VAR_LONG_VALUE","MOD_CODE","TABLE_NAME","RES_NAME","F_CONTEXT_CODE","GLOBAL_ID","GEN_INFO","TASK_TYPE","TASK_TYPE_1","TASK_NAME1","TASK_NAME2","TASK_NAME3","EXE_CHANNEL","DEF_CONTEXT_CODE","COL_LSCHEMA_NAME","COL_TXT","DEF_TXT"
587,"CAPC_LOAD_XACTLY_DATA",16,"V","Refresh HYP_PERIOD","HYPERION_OPTIMIZATION.HYP_PERIOD","","","","","","","8581a745-f888-4eb9-9be0-94964d24cdd9","","V","V","Variable","HYP_PERIOD","","","","","","SELECT SubStr( '#HYPERION_OPTIMIZATION.EBS_PERIOD' , 1 , 3 ) FROM dual"
587,"CAPC_LOAD_XACTLY_DATA",17,"V","Refresh HYP_YEAR","HYPERION_OPTIMIZATION.HYP_YEAR","","","","","","","10a7cc28-9907-4ea6-b16e-d6dcc843ac7a","","V","V","Variable","HYP_YEAR","","","","","","SELECT 'FY' || ( SubStr( '#HYPERION_OPTIMIZATION.EBS_PERIOD' , -2 ) + 
CASE 
    WHEN Upper( SubStr( '#HYPERION_OPTIMIZATION.EBS_PERIOD' , 1 , 3 ) ) = 'JAN' 
    THEN 0
    ELSE 1
END)
FROM dual"
587,"CAPC_LOAD_XACTLY_DATA",18,"T","Send START Email to IT-Hyperion","","","","","","","","f2f6abd8-a48d-4e85-afe4-11ae85ded626","","S","S","Procedure","Send START Email to IT-Hyperion","Send START Email","S","","","","OdiSendMail ""-MAILHOST=#GLOBAL.SFDC_EMAIL_SERVER"" ""-FROM=#GLOBAL.SFDC_EMAIL_ADMIN"" ""-SUBJECT=ODI STARTED: <?=odiRef.getSession(""SESS_NAME"") ?> (SessionID: <?=odiRef.getSession(""SESS_NO"") ?>) - Context: <?=odiRef.getContext(""CTX_NAME"") ?>"" ""-TO=#GLOBAL.SFDC_EPM_EMAIL_LIST""

FYI
===

ODI Process has been started to process the dataset for #HYPERION_OPTIMIZATION.CAPC_DATA_SOURCE_TYPE
Period: #HYPERION_OPTIMIZATION.EBS_PERIOD"
587,"CAPC_LOAD_XACTLY_DATA",19,"V","Refresh CAPCOMM_ROOT_FOLDER","HYPERION_OPTIMIZATION.CAPCOMM_ROOT_FOLDER","","","","","","","e871bfc3-dc43-4f3e-8b41-2a1526356aca","","V","V","Variable","CAPCOMM_ROOT_FOLDER","","","","","","SELECT '<?=odiRef.getSchemaName(""FILE_CAPCOMM_ROOT"", ""W"") ?>' FROM dual"
587,"CAPC_LOAD_XACTLY_DATA",20,"V","Refresh CAPCOMM_AUDIT_FILE","HYPERION_OPTIMIZATION.CAPCOMM_AUDIT_FILE","","","","","","","af1e7d08-0759-4af5-a4b8-d90e27849e32","","V","V","Variable","CAPCOMM_AUDIT_FILE","","","","","","SELECT '#HYPERION_OPTIMIZATION.LOG_FOLDER/audit_<?=odiRef.getSession(""SESS_NAME"") ?>_#HYPERION_OPTIMIZATION.TIMESTAMP_SEC.txt' FROM dual"
587,"CAPC_LOAD_XACTLY_DATA",21,"SE","CAPC_EXTRACT_DRIVERS v1","","","","","","","","b3c18e39-5d9c-4788-8ae0-b36552b8dac0","","S","S","Oracle Data Integrator Command","Oracle Data Integrator Command","","S","","","","OdiStartScen ""-SCEN_NAME=CAPC_EXTRACT_DRIVERS"" ""-SCEN_VERSION=001"" ""-HYPERION_OPTIMIZATION.TIMESTAMP_SEC=#HYPERION_OPTIMIZATION.TIMESTAMP_SEC"" ""-HYPERION_OPTIMIZATION.CAPCOMM_AUDIT_FILE=#HYPERION_OPTIMIZATION.CAPCOMM_AUDIT_FILE"" ""-HYPERION_OPTIMIZATION.LOG_FOLDER=#HYPERION_OPTIMIZATION.LOG_FOLDER"" ""-HYPERION_OPTIMIZATION.EBS_PERIOD=#HYPERION_OPTIMIZATION.EBS_PERIOD"""
587,"CAPC_LOAD_XACTLY_DATA",22,"V","MNA_ORG62CODE","HYPERION_OPTIMIZATION.MNA_ORG62CODE","","","","","","","42a05832-8514-44c1-a2da-51fb49faa1c8","","V","V","Variable","MNA_ORG62CODE","","","","","","SELECT CONCAT(CONCAT('''',(SELECT LISTAGG (ORG62CODE,''',''' )  WITHIN GROUP (ORDER BY MNA_DRIVER) FROM 
            T_CAPC_ORG62CODE_TO_EG WHERE EBS_PERIOD='#HYPERION_OPTIMIZATION.EBS_PERIOD')),'''') MNA_CODES FROM DUAL"
587,"CAPC_LOAD_XACTLY_DATA",23,"V","MNA_SUBCLOUD","HYPERION_OPTIMIZATION.MNA_SUBCLOUD","","","","","","","82f3988d-1624-4a51-bda4-4c96b0e3ac54","","V","V","Variable","MNA_SUBCLOUD","","","","","","SELECT CONCAT(CONCAT('''',(SELECT LISTAGG (SUBCLOUD,''',''' )  WITHIN GROUP (ORDER BY MNA_DRIVER) FROM 
            T_CAPC_SUBCLOUD_TO_EG WHERE EBS_PERIOD='#HYPERION_OPTIMIZATION.EBS_PERIOD')),'''') MNA_CODES FROM DUAL"
587,"CAPC_LOAD_XACTLY_DATA",24,"V","RENEWAL_EG","HYPERION_OPTIMIZATION.RENEWAL_EG","","","","","","","e4646da1-d195-4246-9840-61b0d1a0a326","","V","V","Variable","RENEWAL_EG","","","","","","SELECT CONCAT(CONCAT('''',(SELECT LISTAGG (CHILD,''',''' )  WITHIN GROUP (ORDER BY PARENT) FROM V_CAPCOMM_EARNINGGROUP WHERE PARENT='Renewal_Contracts')),'''') RENEWAL_CONTRACTS FROM DUAL"
587,"CAPC_LOAD_XACTLY_DATA",25,"V","CAPCOMM_ROOT_FOLDER","HYPERION_OPTIMIZATION.CAPCOMM_ROOT_FOLDER","","","","","","","38c526ec-84ab-4f0a-a316-befcd6b11134","","V","V","Variable","CAPCOMM_ROOT_FOLDER","","","","","","SELECT '<?=odiRef.getSchemaName(""FILE_CAPCOMM_ROOT"", ""W"") ?>' FROM dual"
587,"CAPC_LOAD_XACTLY_DATA",26,"V","EG_MS_CODES","HYPERION_OPTIMIZATION.EG_MS_CODES","","","","","","","cce0d738-e33c-40e8-babb-516e9ad2eab6","","V","V","Variable","EG_MS_CODES","","","","","","SELECT CONCAT(CONCAT('''',(SELECT LISTAGG (EARNINGS_GROUP,''',''' )  WITHIN GROUP (ORDER BY ACCOUNT) FROM 
            T_CAPC_DRIVERS WHERE ACCOUNT='Exception_Earninggroups' AND GL_PERIOD='#HYPERION_OPTIMIZATION.EBS_PERIOD')),'''') EXCEPTION_EG FROM DUAL"
587,"CAPC_LOAD_XACTLY_DATA",27,"V","MS_BLENDED_PERCENT","HYPERION_OPTIMIZATION.MS_BLENDED_PERCENT","","","","","","","76f99d4e-67da-4993-8a9f-9db745656499","","V","V","Variable","MS_BLENDED_PERCENT","","","","","","SELECT DISTINCT CAP_PERCENT FROM T_CAPC_SUBCLOUD_TO_EG WHERE EBS_PERIOD='#HYPERION_OPTIMIZATION.EBS_PERIOD' AND MNA_DRIVER = 'MuleSoft_Blended'"
587,"CAPC_LOAD_XACTLY_DATA",28,"VD","CAPC_EG_CAP","HYPERION_OPTIMIZATION.CAPC_EG_CAP","","","","","","","a12e143a-8db2-491d-a942-fb603f089698","","V","V","Variable","CAPC_EG_CAP","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",29,"VD","CAPC_EG_EXP","HYPERION_OPTIMIZATION.CAPC_EG_EXP","","","","","","","71cf1f8d-b66a-4aa7-a25a-4194b08960f9","","V","V","Variable","CAPC_EG_EXP","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",30,"VD","Declare CAPC_EMAIL_ATTACHMENTS","HYPERION_OPTIMIZATION.CAPC_EMAIL_ATTACHMENTS","","","","","","","8753de95-827a-40d9-aaa8-9d979ece46ee","","V","V","Variable","CAPC_EMAIL_ATTACHMENTS","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",31,"VD","Declare CAPC_EMAIL_LINKS","HYPERION_OPTIMIZATION.CAPC_EMAIL_LINKS","","","","","","","24241ee0-6682-45d8-aa5c-0722b873a001","","V","V","Variable","CAPC_EMAIL_LINKS","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",32,"VD","CAPC_ERROR_FILE_DETAILED_V1","HYPERION_OPTIMIZATION.CAPC_ERROR_FILE_DETAILED_V1","","","","","","","bbfe2eab-c986-4251-aa5f-dccc5d4652f3","","V","V","Variable","CAPC_ERROR_FILE_DETAILED_V1","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",33,"VD"," CAPC_EMAIL_LINKS_V1","HYPERION_OPTIMIZATION.CAPC_EMAIL_LINKS_V1","","","","","","","95a43a3f-e70e-4a87-a0fb-595a3168f3f3","","V","V","Variable","CAPC_EMAIL_LINKS_V1","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",34,"T","Delete Xactly Prelim Records","","","","","","","","5a229152-be0f-4d3a-86ff-3a36cd412225","","S","S","Procedure","Delete Xactly Prelim Records","show variables","B","","","","raise Exception(""gl_period = '#HYPERION_OPTIMIZATION.EBS_PERIOD' AND '#HYPERION_OPTIMIZATION.CAPC_IS_FINAL' = 'Y'"")"
587,"CAPC_LOAD_XACTLY_DATA",34,"T","Delete Xactly Prelim Records","","","","","","","","5a229152-be0f-4d3a-86ff-3a36cd412225","","S","S","Procedure","Delete Xactly Prelim Records","DELETE Xactly STG1","J","","","","DELETE FROM t_capc_xactly_stg1
WHERE data_source_type LIKE '%Prelim%'
AND ebs_period = '#HYPERION_OPTIMIZATION.EBS_PERIOD'
/* W-8244105
AND '#HYPERION_OPTIMIZATION.CAPC_IS_FINAL' = 'Y'*/"
587,"CAPC_LOAD_XACTLY_DATA",34,"T","Delete Xactly Prelim Records","","","","","","","","5a229152-be0f-4d3a-86ff-3a36cd412225","","S","S","Procedure","Delete Xactly Prelim Records","DELETE Xactly STG2","J","","","","DELETE FROM t_capc_xactly_stg2
WHERE data_source_type LIKE '%Prelim%'
AND ebs_period = '#HYPERION_OPTIMIZATION.EBS_PERIOD'
/* W-8244105
AND '#HYPERION_OPTIMIZATION.CAPC_IS_FINAL' = 'Y'*/"
587,"CAPC_LOAD_XACTLY_DATA",34,"T","Delete Xactly Prelim Records","","","","","","","","5a229152-be0f-4d3a-86ff-3a36cd412225","","S","S","Procedure","Delete Xactly Prelim Records","DELETE Xactly from Dataload","J","","","","DELETE FROM t_capc_dataload
WHERE data_source_type LIKE '%Prelim%'
AND gl_period = '#HYPERION_OPTIMIZATION.EBS_PERIOD'
/* W-8244105
AND '#HYPERION_OPTIMIZATION.CAPC_IS_FINAL' = 'Y'*/"
587,"CAPC_LOAD_XACTLY_DATA",34,"T","Delete Xactly Prelim Records","","","","","","","","5a229152-be0f-4d3a-86ff-3a36cd412225","","S","S","Procedure","Delete Xactly Prelim Records","DELETE Xactly Inbound","J","","","","DELETE FROM t_capc_xactly_inbound
WHERE data_source_type LIKE '%Prelim%'
AND gl_period = '#HYPERION_OPTIMIZATION.EBS_PERIOD'
/* W-8244105
AND '#HYPERION_OPTIMIZATION.CAPC_IS_FINAL' = 'Y'*/"
587,"CAPC_LOAD_XACTLY_DATA",35,"M","TXT_ORA Load ALF to Xactly Inbound Table","","ORA_HYPGL","","ORA_HYPGL","T_CAPC_XACTLY_INBOUND","T_CAPC_XACTLY_INBOUND","","34d45cc7-73aa-4fae-9ad7-9de393594983","<map-generation-info>
   <node name=""T_CAPC_XACTLY_INBOUND"" type=""IKM"" km=""IKM SQL Control Append - FTI - SELECTIVE DELETE.Hyperion_Optimization"">
      <option name=""DELETE_CLAUSE"" value=""gl_period = '#EBS_PERIOD'&#xa;AND data_source_id = '#CAPC_DATA_SOURCE_ID'"" default=""false""/>
      <option name=""DELETE_SELECTIVE"" value=""true"" default=""true""/>
      <option name=""INSERT"" value=""true"" default=""true""/>
      <option name=""COMMIT"" value=""true"" default=""true""/>
      <option name=""FLOW_CONTROL"" value=""true"" default=""false""/>
      <option name=""RECYCLE_ERRORS"" value=""false"" default=""true""/>
      <option name=""STATIC_CONTROL"" value=""false"" default=""true""/>
      <option name=""TRUNCATE"" value=""false"" default=""true""/>
      <option name=""CREATE_TARG_TABLE"" value=""false"" default=""true""/>
      <option name=""DELETE_TEMPORARY_OBJECTS"" value=""true"" default=""true""/>
      <option name=""WRITE_TO_FILE"" value=""false"" default=""true""/>
   </node>
   <node name=""T_CAPC_XACTLY_INBOUND"" type=""CKM"" km=""CKM Oracle - FTI.Hyperion_Optimization"">
      <option name=""IGNORE_ERROR_CONDITION"" value=""order_item_id NOT LIKE 'Number of records generated: %'"" default=""false""/>
      <option name=""DROP_ERROR_TABLE"" value=""true"" default=""false""/>
      <option name=""DROP_CHECK_TABLE"" value=""false"" default=""true""/>
      <option name=""CREATE_ERROR_INDEX"" value=""true"" default=""true""/>
      <option name=""COMPATIBLE"" value=""9"" default=""true""/>
      <option name=""VALIDATE"" value=""false"" default=""true""/>
      <option name=""ENABLE_EDITION_SUPPORT"" value=""false"" default=""true""/>
      <option name=""UPGRADE_ERROR_TABLE"" value=""false"" default=""true""/>
   </node>
   <node name=""ALF_AP"" type=""LKM"" km=""LKM File to Oracle (SQLLDR) - FTI - PARALLEL.Hyperion_Optimization"">
      <option name=""DELETE_TEMPORARY_OBJECTS"" value=""true"" default=""true""/>
      <option name=""WORK_TABLE_OPTIONS"" value=""NOLOGGING"" default=""true""/>
      <option name=""LOA_DIRECT"" value=""FALSE"" default=""true""/>
      <option name=""LOA_DISCARDMAX"" value=""1"" default=""true""/>
      <option name=""LOA_ERRORS"" value=""0"" default=""false""/>
      <option name=""COMPATIBLE"" value=""9"" default=""true""/>
      <option name=""VALIDATE"" value=""false"" default=""true""/>
      <option name=""NLS_DATE_LANGUAGE"" value="""" default=""true""/>
      <option name=""NLS_NUMERIC_CHARACTERS"" value="""" default=""true""/>
      <option name=""CHARSET_ENCODING"" value=""ISO8859-1"" default=""true""/>
      <option name=""READSIZE"" value=""1048576"" default=""true""/>
   </node>
   <node name=""ALF"" type=""XKM"" km=""XKM SQL File Extract.GLOBAL""/>
   <target name=""T_CAPC_XACTLY_INBOUND"" resource=""T_CAPC_XACTLY_INBOUND"" model=""ORA_HYPGL"" logicalSchema=""ORA_HYPGL"" forcedContext=""""/>
</map-generation-info>","L","L","SERIAL","MAP_CLEANUP","","","","","",""
587,"CAPC_LOAD_XACTLY_DATA",35,"M","TXT_ORA Load ALF to Xactly Inbound Table","","ORA_HYPGL","","ORA_HYPGL","T_CAPC_XACTLY_INBOUND","T_CAPC_XACTLY_INBOUND","","34d45cc7-73aa-4fae-9ad7-9de393594983","<map-generation-info>
   <node name=""T_CAPC_XACTLY_INBOUND"" type=""IKM"" km=""IKM SQL Control Append - FTI - SELECTIVE DELETE.Hyperion_Optimization"">
      <option name=""DELETE_CLAUSE"" value=""gl_period = '#EBS_PERIOD'&#xa;AND data_source_id = '#CAPC_DATA_SOURCE_ID'"" default=""false""/>
      <option name=""DELETE_SELECTIVE"" value=""true"" default=""true""/>
      <option name=""INSERT"" value=""true"" default=""true""/>
      <option name=""COMMIT"" value=""true"" default=""true""/>
      <option name=""FLOW_CONTROL"" value=""true"" default=""false""/>
      <option name=""RECYCLE_ERRORS"" value=""false"" default=""true""/>
      <option name=""STATIC_CONTROL"" value=""false"" default=""true""/>
      <option name=""TRUNCATE"" value=""false"" default=""true""/>
      <option name=""CREATE_TARG_TABLE"" value=""false"" default=""true""/>
      <option name=""DELETE_TEMPORARY_OBJECTS"" value=""true"" default=""true""/>
      <option name=""WRITE_TO_FILE"" value=""false"" default=""true""/>
   </node>
   <node name=""T_CAPC_XACTLY_INBOUND"" type=""CKM"" km=""CKM Oracle - FTI.Hyperion_Optimization"">
      <option name=""IGNORE_ERROR_CONDITION"" value=""order_item_id NOT LIKE 'Number of records generated: %'"" default=""false""/>
      <option name=""DROP_ERROR_TABLE"" value=""true"" default=""false""/>
      <option name=""DROP_CHECK_TABLE"" value=""false"" default=""true""/>
      <option name=""CREATE_ERROR_INDEX"" value=""true"" default=""true""/>
      <option name=""COMPATIBLE"" value=""9"" default=""true""/>
      <option name=""VALIDATE"" value=""false"" default=""true""/>
      <option name=""ENABLE_EDITION_SUPPORT"" value=""false"" default=""true""/>
      <option name=""UPGRADE_ERROR_TABLE"" value=""false"" default=""true""/>
   </node>
   <node name=""ALF_AP"" type=""LKM"" km=""LKM File to Oracle (SQLLDR) - FTI - PARALLEL.Hyperion_Optimization"">
      <option name=""DELETE_TEMPORARY_OBJECTS"" value=""true"" default=""true""/>
      <option name=""WORK_TABLE_OPTIONS"" value=""NOLOGGING"" default=""true""/>
      <option name=""LOA_DIRECT"" value=""FALSE"" default=""true""/>
      <option name=""LOA_DISCARDMAX"" value=""1"" default=""true""/>
      <option name=""LOA_ERRORS"" value=""0"" default=""false""/>
      <option name=""COMPATIBLE"" value=""9"" default=""true""/>
      <option name=""VALIDATE"" value=""false"" default=""true""/>
      <option name=""NLS_DATE_LANGUAGE"" value="""" default=""true""/>
      <option name=""NLS_NUMERIC_CHARACTERS"" value="""" default=""true""/>
      <option name=""CHARSET_ENCODING"" value=""ISO8859-1"" default=""true""/>
      <option name=""READSIZE"" value=""1048576"" default=""true""/>
   </node>
   <node name=""ALF"" type=""XKM"" km=""XKM SQL File Extract.GLOBAL""/>
   <target name=""T_CAPC_XACTLY_INBOUND"" resource=""T_CAPC_XACTLY_INBOUND"" model=""ORA_HYPGL"" logicalSchema=""ORA_HYPGL"" forcedContext=""""/>
</map-generation-info>","L","L","SERIAL","EU","FILE_CAPCOMM_SFTP_UNIT","","","","",""
